cardId,name,cardType,life,cost,power,attributes,traits,counter,colors,images,effectText,triggerText,rarity,set
EB01-007,Yamato,CHARACTER,,5,5000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",2000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007.png?250701"", ""alt"": ""Yamato"", ""localPath"": ""EB01-007.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.""}]}]",,C,EB01 - Memorial Collection
EB01-008,LittleOars Jr.,CHARACTER,,6,7000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Giant"", ""value"": ""Giant""}, {""name"": ""Whitebeard Pirates Allies"", ""value"": ""Whitebeard Pirates Allies""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-008.png?250701"", ""alt"": ""LittleOars Jr."", ""localPath"": ""EB01-008.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.""}]}]",,R,EB01 - Memorial Collection
EB01-009,Just Shut Up and Come with Us!!!!,EVENT,,1,-,[],"[{""name"": ""Drum Kingdom"", ""value"": ""Drum Kingdom""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?250701"", ""alt"": ""Just Shut Up and Come with Us!!!!"", ""localPath"": ""EB01-009.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.""}]}]",,C,EB01 - Memorial Collection
EB01-010,There's No Way You Could Defeat Me!!,EVENT,,3,-,[],"[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-010.png?250701"", ""alt"": ""There""s No Way You Could Defeat Me!!"", ""localPath"": ""EB01-010.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less.""}]}]",K.O. up to 1 of your opponent's Characters with 5000 base power or less.,R,EB01 - Memorial Collection
EB01-011,Mini-Merry,STAGE,,1,-,[],"[{""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-011.png?250701"", ""alt"": ""Mini-Merry"", ""localPath"": ""EB01-011.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.""}]}]",,C,EB01 - Memorial Collection
EB01-012,Cavendish,CHARACTER,,5,6000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Beautiful Pirates"", ""value"": ""Beautiful Pirates""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012.png?250701"", ""alt"": ""Cavendish"", ""localPath"": ""EB01-012.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.""}]}]",,SR,EB01 - Memorial Collection
EB01-012_p1,Cavendish,CHARACTER,,5,6000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Beautiful Pirates"", ""value"": ""Beautiful Pirates""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p1.png?250701"", ""alt"": ""Cavendish"", ""localPath"": ""EB01-012_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.""}]}]",,SR,EB01 - Memorial Collection
EB01-013,Kouzuki Hiyori,CHARACTER,,4,-,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013.png?250701"", ""alt"": ""Kouzuki Hiyori"", ""localPath"": ""EB01-013.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.""}]}]",,R,EB01 - Memorial Collection
EB01-013_p1,Kouzuki Hiyori,CHARACTER,,4,-,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013_p1.png?250701"", ""alt"": ""Kouzuki Hiyori"", ""localPath"": ""EB01-013_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.""}]}]",,R,EB01 - Memorial Collection
EB01-014,Sanji,CHARACTER,,4,5000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""FILM"", ""value"": ""FILM""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",2000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014.png?250701"", ""alt"": ""Sanji"", ""localPath"": ""EB01-014.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.""}]}]",,R,EB01 - Memorial Collection
EB01-015,Scratchmen Apoo,CHARACTER,,1,1000,"[{""name"": ""Special"", ""value"": ""Special""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""On-Air Pirates"", ""value"": ""On-Air Pirates""}]",2000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015.png?250701"", ""alt"": ""Scratchmen Apoo"", ""localPath"": ""EB01-015.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.""}]}]",,R,EB01 - Memorial Collection
EB01-016,Bingoh,CHARACTER,,1,-,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-016.png?250701"", ""alt"": ""Bingoh"", ""localPath"": ""EB01-016.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.""}]}]",,C,EB01 - Memorial Collection
EB01-017,Blueno,CHARACTER,,2,2000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""FILM"", ""value"": ""FILM""}, {""name"": ""CP0"", ""value"": ""CP0""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-017.png?250701"", ""alt"": ""Blueno"", ""localPath"": ""EB01-017.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)""}]}]",,C,EB01 - Memorial Collection
EB01-018,Mountain God,CHARACTER,,5,7000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018.png?250701"", ""alt"": ""Mountain God"", ""localPath"": ""EB01-018.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""-""}]}]",,C,EB01 - Memorial Collection
EB01-019,Off-White,EVENT,,2,-,[],"[{""name"": ""The Seven Warlords of the Sea"", ""value"": ""The Seven Warlords of the Sea""}, {""name"": ""Donquixote Pirates"", ""value"": ""Donquixote Pirates""}]",-,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-019.png?250701"", ""alt"": ""Off-White"", ""localPath"": ""EB01-019.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.""}]}]",,R,EB01 - Memorial Collection
EB01-020,Chambres,EVENT,,1,-,[],"[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Heart Pirates"", ""value"": ""Heart Pirates""}]",-,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-020.png?250701"", ""alt"": ""Chambres"", ""localPath"": ""EB01-020.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character.""}]}]",Activate this card's [Main] effect.,C,EB01 - Memorial Collection
EB01-021,Hannyabal,LEADER,4,,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}, {""name"": ""Purple"", ""value"": ""Purple""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?250701"", ""alt"": ""Hannyabal"", ""localPath"": ""EB01-021.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.""}]}]",,L,EB01 - Memorial Collection
EB01-021_p1,Hannyabal,LEADER,4,,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}, {""name"": ""Purple"", ""value"": ""Purple""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p1.png?250701"", ""alt"": ""Hannyabal"", ""localPath"": ""EB01-021_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.""}]}]",,L,EB01 - Memorial Collection
EB01-022,Inazuma,CHARACTER,,6,7000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Revolutionary Army"", ""value"": ""Revolutionary Army""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022.png?250701"", ""alt"": ""Inazuma"", ""localPath"": ""EB01-022.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.""}]}]",,SR,EB01 - Memorial Collection
EB01-022_p1,Inazuma,CHARACTER,,6,7000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Revolutionary Army"", ""value"": ""Revolutionary Army""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022_p1.png?250701"", ""alt"": ""Inazuma"", ""localPath"": ""EB01-022_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.""}]}]",,SR,EB01 - Memorial Collection
EB01-023,Edward Weevil,CHARACTER,,4,6000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""The Seven Warlords of the Sea"", ""value"": ""The Seven Warlords of the Sea""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023.png?250701"", ""alt"": ""Edward Weevil"", ""localPath"": ""EB01-023.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play] Draw 1 card.""}]}]",,R,EB01 - Memorial Collection
EB01-024,Hamlet,CHARACTER,,3,4000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Animal Kingdom Pirates"", ""value"": ""Animal Kingdom Pirates""}, {""name"": ""SMILE"", ""value"": ""SMILE""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-024.png?250701"", ""alt"": ""Hamlet"", ""localPath"": ""EB01-024.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power.""}]}]",,C,EB01 - Memorial Collection
EB01-025,Fourtricks,CHARACTER,,3,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Animal Kingdom Pirates"", ""value"": ""Animal Kingdom Pirates""}, {""name"": ""SMILE"", ""value"": ""SMILE""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-025.png?250701"", ""alt"": ""Fourtricks"", ""localPath"": ""EB01-025.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""-""}]}]",,C,EB01 - Memorial Collection
EB01-026,Prince Bellett,CHARACTER,,2,2000,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}]",2000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-026.png?250701"", ""alt"": ""Prince Bellett"", ""localPath"": ""EB01-026.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.""}]}]",,C,EB01 - Memorial Collection
EB01-027,Mr.1(Daz.Bonez),CHARACTER,,5,6000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027.png?250701"", ""alt"": ""Mr.1(Daz.Bonez)"", ""localPath"": ""EB01-027.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""If your Leader's type includes \""Baroque Works\"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.""}]}]",,R,EB01 - Memorial Collection
EB01-027_p1,Mr.1(Daz.Bonez),CHARACTER,,5,6000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027_p1.png?250701"", ""alt"": ""Mr.1(Daz.Bonez)"", ""localPath"": ""EB01-027_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""If your Leader's type includes \""Baroque Works\"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.""}]}]",,R,EB01 - Memorial Collection
EB01-028,Gum-Gum Champion Rifle,EVENT,,1,-,[],"[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-028.png?250701"", ""alt"": ""Gum-Gum Champion Rifle"", ""localPath"": ""EB01-028.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand.""}]}]",Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,R,EB01 - Memorial Collection
EB01-029,Sorry. I'm a Goner.,EVENT,,1,-,[],"[{""name"": ""East Blue"", ""value"": ""East Blue""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-029.png?250701"", ""alt"": ""Sorry. I""m a Goner."", ""localPath"": ""EB01-029.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck.""}]}]",Return up to 1 Character with a cost of 8 or less to the owner's hand.,C,EB01 - Memorial Collection
EB01-030,Loguetown,STAGE,,2,-,[],"[{""name"": ""East Blue"", ""value"": ""East Blue""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-030.png?250701"", ""alt"": ""Loguetown"", ""localPath"": ""EB01-030.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards.""}]}]",Play this card.,C,EB01 - Memorial Collection
EB01-031,Kalifa,CHARACTER,,5,5000,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Galley-La Company"", ""value"": ""Galley-La Company""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031.png?250701"", ""alt"": ""Kalifa"", ""localPath"": ""EB01-031.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play] DON!! \u22121 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.""}]}]",,R,EB01 - Memorial Collection
EB01-031_p1,Kalifa,CHARACTER,,5,5000,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Galley-La Company"", ""value"": ""Galley-La Company""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031_p1.png?250701"", ""alt"": ""Kalifa"", ""localPath"": ""EB01-031_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play] DON!! \u22121 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.""}]}]",,R,EB01 - Memorial Collection
