cardId,name,cardType,life,cost,power,attributes,traits,counter,colors,images,effect_description,trigger_description,has_trigger,trigger_effect,rarity,set
EB01-011,Mini-Merry,STAGE,,1,1000,[],"[{""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-011.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-012,Cavendish,CHARACTER,,5,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Beautiful Pirates"", ""value"": ""Beautiful Pirates""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p3"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p3.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-013,Kouzuki Hiyori,CHARACTER,,4,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-014,Sanji,CHARACTER,,4,1000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""FILM"", ""value"": ""FILM""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",2000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-015,Scratchmen Apoo,CHARACTER,,1,,"[{""name"": ""Special"", ""value"": ""Special""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""On-Air Pirates"", ""value"": ""On-Air Pirates""}]",2000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p2.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p3"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p3.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-016,Bingoh,CHARACTER,,1,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-016.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-017,Blueno,CHARACTER,,2,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""FILM"", ""value"": ""FILM""}, {""name"": ""CP0"", ""value"": ""CP0""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-017.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-018,Mountain God,CHARACTER,,5,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",1000,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-019,Off-White,EVENT,,2,4000,[],"[{""name"": ""The Seven Warlords of the Sea"", ""value"": ""The Seven Warlords of the Sea""}, {""name"": ""Donquixote Pirates"", ""value"": ""Donquixote Pirates""}]",-,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-019.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-020,Chambres,EVENT,,1,,[],"[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Heart Pirates"", ""value"": ""Heart Pirates""}]",-,"[{""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-020.png?250701"", ""artist"": """", ""is_default"": true}]",,Activate this card's [Main] effect.,True,,C,EB01 - Memorial Collection
EB01-021,Hannyabal,LEADER,4,,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}, {""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p2.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-022,Inazuma,CHARACTER,,6,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Revolutionary Army"", ""value"": ""Revolutionary Army""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-023,Edward Weevil,CHARACTER,,4,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""The Seven Warlords of the Sea"", ""value"": ""The Seven Warlords of the Sea""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-024,Hamlet,CHARACTER,,3,1000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Animal Kingdom Pirates"", ""value"": ""Animal Kingdom Pirates""}, {""name"": ""SMILE"", ""value"": ""SMILE""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-024.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-025,Fourtricks,CHARACTER,,3,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Animal Kingdom Pirates"", ""value"": ""Animal Kingdom Pirates""}, {""name"": ""SMILE"", ""value"": ""SMILE""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-025.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-026,Prince Bellett,CHARACTER,,2,,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}]",2000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-026.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-027,Mr.1(Daz.Bonez),CHARACTER,,5,1000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",1000,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-028,Gum-Gum Champion Rifle,EVENT,,1,2000,[],"[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-028.png?250701"", ""artist"": """", ""is_default"": true}]",,Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,True,,C,EB01 - Memorial Collection
EB01-029,Sorry. I'm a Goner.,EVENT,,1,,[],"[{""name"": ""East Blue"", ""value"": ""East Blue""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""[{\""url\"": \""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-029.png?250701\"", \""alt\"": \""Sorry. I\""m a Goner.\"", \""localPath\"": \""EB01-029.jpg\""}]"", ""artist"": """", ""is_default"": true}]",,Return up to 1 Character with a cost of 8 or less to the owner's hand.,True,,C,EB01 - Memorial Collection
EB01-030,Loguetown,STAGE,,2,,[],"[{""name"": ""East Blue"", ""value"": ""East Blue""}]",-,"[{""name"": ""Blue"", ""value"": ""Blue""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-030.png?250701"", ""artist"": """", ""is_default"": true}]",,Play this card.,True,,C,EB01 - Memorial Collection
EB01-031,Kalifa,CHARACTER,,5,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Galley-La Company"", ""value"": ""Galley-La Company""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-032,Army Wolves,CHARACTER,,5,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Impel Down"", ""value"": ""Impel Down""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-032.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-033,Blueno,CHARACTER,,4,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Water Seven"", ""value"": ""Water Seven""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-033.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-034,Ms. Wednesday,CHARACTER,,3,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-035,Ms. Monday,CHARACTER,,3,1000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",-,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-035.png?250701"", ""artist"": """", ""is_default"": true}]",,DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.,True,,C,EB01 - Memorial Collection
EB01-036,Minochihuahua,CHARACTER,,4,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Impel Down"", ""value"": ""Impel Down""}, {""name"": ""Jailer Beast"", ""value"": ""Jailer Beast""}]",-,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-036.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-037,Mr. 9,CHARACTER,,3,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",1000,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-037.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-038,Oh Come My Way,EVENT,,1,,[],"[{""name"": ""Baroque Works"", ""value"": ""Baroque Works""}]",-,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-038.png?250701"", ""artist"": """", ""is_default"": true}]",,DON!! −1: Draw 2 cards.,True,,C,EB01 - Memorial Collection
EB01-039,Conquerer of Three Worlds Ragnaraku,EVENT,,5,,[],"[{""name"": ""The Four Emperors"", ""value"": ""The Four Emperors""}, {""name"": ""Animal Kingdom Pirates"", ""value"": ""Animal Kingdom Pirates""}]",-,"[{""name"": ""Purple"", ""value"": ""Purple""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-039.png?250701"", ""artist"": """", ""is_default"": true}]",,Add up to 1 DON!! card from your DON!! deck and set it as active.,True,,C,EB01 - Memorial Collection
EB01-040,Kyros,LEADER,4,,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Dressrosa"", ""value"": ""Dressrosa""}]",-,"[{""name"": ""Black"", ""value"": ""Black""}, {""name"": ""Yellow"", ""value"": ""Yellow""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040_p2.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-041,Crocus,CHARACTER,,6,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Former Roger Pirates"", ""value"": ""Former Roger Pirates""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-041.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-042,Scarlet,CHARACTER,,2,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""Dressrosa"", ""value"": ""Dressrosa""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-042.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-043,Spandine,CHARACTER,,3,,"[{""name"": ""Wisdom"", ""value"": ""Wisdom""}]","[{""name"": ""CP9"", ""value"": ""CP9""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p2.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p3"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p3.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p4"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p4.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p5"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p5.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p6"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043_p6.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-044,Funkfreed,CHARACTER,,1,3000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""CP9"", ""value"": ""CP9""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-044.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-045,Brook,CHARACTER,,3,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Rumbar Pirates"", ""value"": ""Rumbar Pirates""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-045.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-046,Brook,CHARACTER,,3,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-046.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-046_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-047,Laboon,CHARACTER,,2,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}]",-,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-047.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-048,Laboon,CHARACTER,,4,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}]",1000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048_p2.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-049,T-Bone,CHARACTER,,5,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Navy"", ""value"": ""Navy""}]",2000,"[{""name"": ""Black"", ""value"": ""Black""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-049.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-049_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
